Year,Rk,Name,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,"Sk Yds",NY/A,ANY/A,Sk%,4QC,GWD
2015,31,"Peyton Manning",DEN,39,QB,10,9,7/2/00,198,331,59.8,2249,9,2.7,17,5.1,75,6.8,5,11.4,224.9,67.9,47.5,16,95,6.21,4.52,4.6,4,4
2014,2,"Peyton Manning",DEN,38,QB,16,16,12/4/00,395,597,66.2,4727,39,6.5,15,2.5,86,7.9,8.1,12,295.4,101.5,75.5,17,118,7.51,7.68,2.8,1,1
2013,1,"Peyton Manning",DEN,37,QB,16,16,13-3-0,450,659,68.3,5477,55,8.3,10,1.5,78,8.3,9.3,12.2,342.3,115.1,82.2,18,120,7.91,8.87,2.7,2,2
2012,3,"Peyton Manning",DEN,36,QB,16,16,13-3-0,400,583,68.6,4659,37,6.3,11,1.9,71,8,8.4,11.6,291.2,105.8,81.3,21,137,7.49,7.89,3.5,3,3
2010,2,"Peyton Manning",IND,34,QB,16,16,10/6/00,450,679,66.3,4700,33,4.9,17,2.5,73,6.9,6.8,10.4,293.8,91.9,73.9,16,91,6.63,6.48,2.3,0,2
2009,2,"Peyton Manning",IND,33,QB,16,16,14-2-0,393,571,68.8,4500,33,5.8,16,2.8,80,7.9,7.8,11.5,281.3,99.9,82.8,10,74,7.62,7.51,1.7,7,7
2008,5,"Peyton Manning",IND,32,QB,16,16,12/4/00,371,555,66.8,4002,27,4.9,12,2.2,75,7.2,7.2,10.8,250.1,95,78,14,86,6.88,6.88,2.5,4,6
2007,4,"Peyton Manning",IND,31,QB,16,16,13-3-0,337,515,65.4,4040,31,6.0,14,2.7,73,7.8,7.8,12,252.5,98,78.3,21,124,7.31,7.29,3.9,1,2
2006,1,"Peyton Manning",IND,30,QB,16,16,12/4/00,362,557,65.0,4397,31,5.6,9,1.6,68,7.9,8.3,12.1,274.8,101,87.5,14,86,7.55,7.93,2.5,4,4
2005,2,"Peyton Manning",IND,29,QB,16,16,14-2-0,305,453,67.3,3747,28,6.2,10,2.2,80,8.3,8.5,12.3,234.2,104.1,17,81,7.8,8.03,3.6,1,1,""
2004,1,"Peyton Manning",IND,28,QB,16,16,12/4/00,336,497,67.6,4557,49,9.9,10,2.0,80,9.2,10.2,13.6,284.8,121.1,13,101,8.74,9.78,2.5,2,4,""
2003,2,"Peyton Manning",IND,27,QB,16,16,12/4/00,379,566,67.0,4267,29,5.1,10,1.8,79,7.5,7.8,11.3,266.7,99,18,107,7.12,7.35,3.1,3,4,""
2002,2,"Peyton Manning",IND,26,QB,16,16,10/6/00,392,591,66.3,4200,27,4.6,19,3.2,69,7.1,6.6,10.7,262.5,88.8,23,145,6.6,6.09,3.7,4,5,""
2001,6,"Peyton Manning",IND,25,QB,16,16,6/10/00,343,547,62.7,4131,26,4.8,23,4.2,86,7.6,6.6,12,258.2,84.1,29,232,6.77,5.88,5,"","",""
2000,1,"Peyton Manning",IND,24,QB,16,16,10/6/00,357,571,62.5,4413,33,5.8,15,2.6,78,7.7,7.7,12.4,275.8,94.7,20,131,7.25,7.22,3.4,2,3,""
1999,3,"Peyton Manning",IND,23,QB,16,16,13-3-0,331,533,62.1,4135,26,4.9,15,2.8,80,7.8,7.5,12.5,258.4,90.7,14,116,7.35,7.06,2.6,6,7,""
1998,5,"Peyton Manning",IND,22,QB,16,16,3/13/00,326,575,56.7,3739,26,4.5,28,4.9,78,6.5,5.2,11.5,233.7,71.2,22,109,6.08,4.84,3.7,1,1,""
